date,location_id,temperature_c,weather_condition,precipitation_mm,is_holiday,is_school_holiday,has_local_event,day_of_week,week_of_year,is_weekend
2024-08-19,HAM_001,10.7,sunny,0.0,0,0,0,0,34,0
2024-08-20,MUC_001,10.3,sunny,10.0,0,0,0,1,34,0
2024-08-20,BER_001,13.4,cloudy,0.0,0,0,0,1,34,0
2024-08-20,HAM_001,15.3,sunny,5.5,0,0,0,1,34,0
2024-08-21,MUC_001,18.3,sunny,2.3,0,0,0,2,34,0
2024-08-21,BER_001,11.8,rainy,0.0,0,0,0,2,34,0
2024-08-21,HAM_001,13.8,sunny,0.0,0,0,0,2,34,0
2024-08-22,MUC_001,12.7,sunny,4.2,0,0,0,3,34,0
2024-08-22,BER_001,18.9,rainy,0.0,0,0,1,3,34,0
2024-08-22,HAM_001,16.8,rainy,1.7,0,0,1,3,34,0
2024-08-23,MUC_001,14.8,sunny,4.4,0,0,0,4,34,0
2024-08-23,BER_001,17.7,cloudy,0.0,0,0,0,4,34,0
2024-08-23,HAM_001,16.5,sunny,3.8,0,0,0,4,34,0
2024-08-24,MUC_001,19.1,rainy,0.0,0,0,0,5,34,1
2024-08-24,BER_001,10.1,sunny,0.0,0,0,0,5,34,1
2024-08-24,HAM_001,13.2,cloudy,3.5,0,0,0,5,34,1
2024-08-25,MUC_001,14.1,sunny,0.0,0,0,0,6,34,1
2024-08-25,BER_001,10.8,rainy,0.0,0,0,1,6,34,1
2024-08-25,HAM_001,17.7,rainy,0.0,0,0,0,6,34,1
2024-08-26,MUC_001,15.3,cloudy,7.6,0,0,0,0,35,0
2024-08-26,BER_001,17.5,sunny,0.0,0,0,0,0,35,0
2024-08-26,HAM_001,11.3,rainy,0.0,0,0,0,0,35,0
2024-08-27,MUC_001,14.3,cloudy,0.0,0,0,0,1,35,0
2024-08-27,BER_001,14.2,rainy,0.0,0,0,0,1,35,0
2024-08-27,HAM_001,14.9,rainy,0.0,0,0,0,1,35,0
2024-08-28,MUC_001,11.1,rainy,5.2,0,0,0,2,35,0
2024-08-28,BER_001,16.5,rainy,0.0,0,0,0,2,35,0
2024-08-28,HAM_001,10.3,cloudy,0.0,0,0,0,2,35,0
2024-08-29,MUC_001,19.5,cloudy,0.0,0,0,0,3,35,0
2024-08-29,BER_001,19.5,cloudy,0.0,0,0,0,3,35,0
2024-08-29,HAM_001,14.2,rainy,5.1,0,0,0,3,35,0
2024-08-30,MUC_001,16.4,sunny,0.0,0,0,0,4,35,0
2024-08-30,BER_001,12.3,cloudy,0.0,0,0,0,4,35,0
2024-08-30,HAM_001,12.4,cloudy,0.0,0,0,0,4,35,0
2024-08-31,MUC_001,19.8,rainy,0.0,0,0,0,5,35,1
2024-08-31,BER_001,17.2,sunny,0.0,0,0,0,5,35,1
2024-08-31,HAM_001,17.4,rainy,0.0,0,0,0,5,35,1
2024-09-01,MUC_001,17.6,rainy,0.0,0,0,0,6,35,1
2024-09-01,BER_001,10.6,rainy,0.0,0,0,0,6,35,1
2024-09-01,HAM_001,12.9,rainy,0.0,0,0,0,6,35,1
2024-09-02,MUC_001,17.5,cloudy,0.2,0,0,0,0,36,0
2024-09-02,BER_001,18.4,sunny,0.0,0,0,0,0,36,0
2024-09-02,HAM_001,12.2,rainy,0.0,0,0,0,0,36,0
2024-09-03,MUC_001,16.2,sunny,8.3,0,0,0,1,36,0
2024-09-03,BER_001,18.4,rainy,0.0,0,0,0,1,36,0
2024-09-03,HAM_001,14.0,cloudy,0.0,0,0,1,1,36,0
2024-09-04,MUC_001,14.9,sunny,0.0,0,0,0,2,36,0
2024-09-04,BER_001,16.8,sunny,0.0,0,0,0,2,36,0
2024-09-04,HAM_001,16.1,cloudy,0.0,0,0,0,2,36,0
2024-09-05,MUC_001,15.3,rainy,0.0,0,0,0,3,36,0
2024-09-05,BER_001,19.3,rainy,0.1,0,0,0,3,36,0
2024-09-05,HAM_001,10.8,sunny,0.0,0,0,0,3,36,0
2024-09-06,MUC_001,10.9,sunny,0.0,0,0,0,4,36,0
2024-09-06,BER_001,12.8,sunny,0.0,0,0,0,4,36,0
2024-09-06,HAM_001,15.7,sunny,0.0,0,0,0,4,36,0
2024-09-07,MUC_001,17.9,rainy,0.0,0,0,0,5,36,1
2024-09-07,BER_001,19.8,sunny,2.9,0,0,0,5,36,1
2024-09-07,HAM_001,13.2,cloudy,0.0,0,0,0,5,36,1
2024-09-08,MUC_001,12.6,sunny,6.2,0,0,0,6,36,1
2024-09-08,BER_001,10.4,cloudy,3.9,0,0,0,6,36,1
2024-09-08,HAM_001,10.3,rainy,0.0,0,0,0,6,36,1
2024-09-09,MUC_001,17.5,rainy,0.0,0,0,0,0,37,0
2024-09-09,BER_001,16.5,cloudy,0.0,0,0,0,0,37,0
2024-09-09,HAM_001,11.4,cloudy,8.0,0,0,0,0,37,0
2024-09-10,MUC_001,13.5,sunny,0.0,0,0,0,1,37,0
2024-09-10,BER_001,19.8,rainy,0.0,0,0,0,1,37,0
2024-09-10,HAM_001,11.1,sunny,0.0,0,0,0,1,37,0
2024-09-11,MUC_001,19.1,rainy,0.0,0,0,0,2,37,0
2024-09-11,BER_001,14.7,rainy,0.0,0,0,0,2,37,0
2024-09-11,HAM_001,15.4,rainy,4.9,0,0,0,2,37,0
2024-09-12,MUC_001,12.5,cloudy,0.0,0,0,0,3,37,0
2024-09-12,BER_001,19.7,rainy,0.0,0,0,0,3,37,0
2024-09-12,HAM_001,16.7,cloudy,0.0,0,0,0,3,37,0
2024-09-13,MUC_001,16.2,cloudy,0.0,0,0,0,4,37,0
2024-09-13,BER_001,19.7,cloudy,0.0,0,0,0,4,37,0
2024-09-13,HAM_001,12.6,rainy,7.1,0,0,0,4,37,0
2024-09-14,MUC_001,16.8,cloudy,6.3,0,0,0,5,37,1
2024-09-14,BER_001,12.9,rainy,0.0,0,0,0,5,37,1
2024-09-14,HAM_001,15.0,sunny,0.0,0,0,0,5,37,1
2024-09-15,MUC_001,13.4,cloudy,0.0,0,0,1,6,37,1
2024-09-15,BER_001,15.7,sunny,0.0,0,0,0,6,37,1
2024-09-15,HAM_001,14.7,rainy,0.0,0,0,0,6,37,1
2024-09-16,MUC_001,11.6,rainy,0.0,0,0,0,0,38,0
2024-09-16,BER_001,13.2,sunny,3.9,0,0,0,0,38,0
2024-09-16,HAM_001,17.1,sunny,0.3,0,0,0,0,38,0
2024-09-17,MUC_001,18.3,cloudy,0.0,0,0,0,1,38,0
2024-09-17,BER_001,11.3,rainy,0.0,0,0,0,1,38,0
2024-09-17,HAM_001,15.6,cloudy,0.0,0,0,0,1,38,0
2024-09-18,MUC_001,18.4,cloudy,0.1,0,0,0,2,38,0
2024-09-18,BER_001,19.4,rainy,0.0,0,0,0,2,38,0
2024-09-18,HAM_001,19.1,sunny,2.7,0,0,0,2,38,0
2024-09-19,MUC_001,11.2,sunny,1.2,0,0,0,3,38,0
2024-09-19,BER_001,16.0,cloudy,0.0,0,0,0,3,38,0
2024-09-19,HAM_001,19.4,cloudy,0.0,0,0,1,3,38,0
2024-09-20,MUC_001,19.6,sunny,0.0,0,0,0,4,38,0
2024-09-20,BER_001,17.5,rainy,0.0,0,0,0,4,38,0
2024-09-20,HAM_001,12.5,sunny,0.0,0,0,1,4,38,0
2024-09-21,MUC_001,13.5,cloudy,0.0,0,0,0,5,38,1
2024-09-21,BER_001,16.9,rainy,3.7,0,0,0,5,38,1
2024-09-21,HAM_001,14.8,cloudy,0.0,0,0,0,5,38,1
2024-09-22,MUC_001,17.3,rainy,0.0,0,0,0,6,38,1
2024-09-22,BER_001,19.3,cloudy,4.5,0,0,0,6,38,1
2024-09-22,HAM_001,16.9,sunny,0.0,0,0,0,6,38,1
2024-09-23,MUC_001,11.3,sunny,4.6,0,0,0,0,39,0
2024-09-23,BER_001,19.5,sunny,2.4,0,0,0,0,39,0
2024-09-23,HAM_001,11.9,cloudy,0.0,0,0,0,0,39,0
2024-09-24,MUC_001,14.3,rainy,0.0,0,0,0,1,39,0
2024-09-24,BER_001,12.5,cloudy,0.0,0,0,0,1,39,0
2024-09-24,HAM_001,17.8,cloudy,0.0,0,0,0,1,39,0
2024-09-25,MUC_001,15.4,cloudy,0.0,0,0,1,2,39,0
2024-09-25,BER_001,17.3,sunny,1.7,0,0,0,2,39,0
2024-09-25,HAM_001,13.9,sunny,0.0,0,0,0,2,39,0
2024-09-26,MUC_001,13.9,rainy,0.6,0,0,0,3,39,0
2024-09-26,BER_001,14.6,sunny,0.0,0,0,0,3,39,0
2024-09-26,HAM_001,10.5,cloudy,0.0,0,0,0,3,39,0
2024-09-27,MUC_001,15.1,rainy,4.8,0,0,0,4,39,0
2024-09-27,BER_001,14.1,sunny,0.0,0,0,0,4,39,0
2024-09-27,HAM_001,10.1,cloudy,0.0,0,0,0,4,39,0
2024-09-28,MUC_001,15.8,cloudy,0.0,0,0,0,5,39,1
2024-09-28,BER_001,11.1,sunny,0.0,0,0,0,5,39,1
2024-09-28,HAM_001,14.5,cloudy,0.0,0,0,0,5,39,1
2024-09-29,MUC_001,10.5,cloudy,0.0,0,0,0,6,39,1
2024-09-29,BER_001,11.0,cloudy,0.0,0,0,0,6,39,1
2024-09-29,HAM_001,19.8,cloudy,0.1,0,0,0,6,39,1
2024-09-30,MUC_001,14.4,sunny,0.0,0,0,0,0,40,0
2024-09-30,BER_001,13.8,cloudy,6.2,0,0,0,0,40,0
2024-09-30,HAM_001,15.4,sunny,0.0,0,0,0,0,40,0
2024-10-01,MUC_001,15.5,sunny,0.0,0,0,0,1,40,0
2024-10-01,BER_001,14.6,rainy,7.7,0,0,0,1,40,0
2024-10-01,HAM_001,13.5,sunny,0.0,0,0,0,1,40,0
2024-10-02,MUC_001,16.7,sunny,0.0,0,0,0,2,40,0
2024-10-02,BER_001,11.6,sunny,0.0,0,0,0,2,40,0
2024-10-02,HAM_001,14.5,sunny,0.0,0,0,0,2,40,0
2024-10-03,MUC_001,15.6,sunny,0.0,1,0,0,3,40,0
2024-10-03,BER_001,18.7,sunny,0.0,1,0,0,3,40,0
2024-10-03,HAM_001,13.1,rainy,6.7,1,0,0,3,40,0
2024-10-04,MUC_001,14.7,sunny,0.0,0,0,1,4,40,0
2024-10-04,BER_001,10.8,rainy,0.0,0,0,0,4,40,0
2024-10-04,HAM_001,10.2,rainy,3.9,0,0,0,4,40,0
2024-10-05,MUC_001,14.7,cloudy,4.3,0,0,1,5,40,1
2024-10-05,BER_001,11.6,sunny,2.0,0,0,0,5,40,1
2024-10-05,HAM_001,10.8,cloudy,0.0,0,0,0,5,40,1
2024-10-06,MUC_001,12.4,rainy,0.0,0,0,0,6,40,1
2024-10-06,BER_001,19.7,rainy,6.0,0,0,0,6,40,1
2024-10-06,HAM_001,16.8,rainy,9.7,0,0,0,6,40,1
2024-10-07,MUC_001,17.2,sunny,0.8,0,0,0,0,41,0
2024-10-07,BER_001,12.1,rainy,0.0,0,0,0,0,41,0
2024-10-07,HAM_001,12.8,cloudy,0.0,0,0,0,0,41,0
2024-10-08,MUC_001,18.7,cloudy,0.0,0,0,0,1,41,0
2024-10-08,BER_001,13.8,sunny,0.0,0,0,0,1,41,0
2024-10-08,HAM_001,13.9,rainy,0.0,0,0,0,1,41,0
2024-10-09,MUC_001,11.1,cloudy,9.2,0,0,0,2,41,0
2024-10-09,BER_001,16.3,rainy,0.0,0,0,0,2,41,0
2024-10-09,HAM_001,15.3,cloudy,0.0,0,0,0,2,41,0
2024-10-10,MUC_001,16.1,cloudy,2.3,0,0,0,3,41,0
2024-10-10,BER_001,11.0,sunny,0.0,0,0,0,3,41,0
2024-10-10,HAM_001,10.5,rainy,6.3,0,0,0,3,41,0
2024-10-11,MUC_001,14.8,sunny,0.0,0,0,0,4,41,0
2024-10-11,BER_001,10.8,sunny,2.3,0,0,0,4,41,0
2024-10-11,HAM_001,14.6,cloudy,0.0,0,0,0,4,41,0
2024-10-12,MUC_001,19.9,cloudy,0.0,0,0,0,5,41,1
2024-10-12,BER_001,11.9,sunny,0.0,0,0,0,5,41,1
2024-10-12,HAM_001,16.9,sunny,2.9,0,0,0,5,41,1
2024-10-13,MUC_001,11.3,sunny,0.0,0,0,0,6,41,1
2024-10-13,BER_001,17.5,rainy,0.0,0,0,1,6,41,1
2024-10-13,HAM_001,16.6,cloudy,0.0,0,0,0,6,41,1
2024-10-14,MUC_001,16.2,sunny,0.0,0,0,0,0,42,0
2024-10-14,BER_001,10.2,sunny,0.0,0,0,0,0,42,0
2024-10-14,HAM_001,16.6,cloudy,0.0,0,0,0,0,42,0
2024-10-15,MUC_001,19.8,sunny,0.0,0,0,0,1,42,0
2024-10-15,BER_001,18.0,sunny,0.0,0,0,0,1,42,0
2024-10-15,HAM_001,16.4,rainy,0.0,0,0,0,1,42,0
2024-10-16,MUC_001,17.0,rainy,0.0,0,0,0,2,42,0
2024-10-16,BER_001,19.7,cloudy,0.0,0,0,0,2,42,0
2024-10-16,HAM_001,19.0,cloudy,0.0,0,0,0,2,42,0
2024-10-17,MUC_001,14.1,sunny,0.0,0,0,0,3,42,0
2024-10-17,BER_001,15.9,cloudy,0.0,0,0,0,3,42,0
2024-10-17,HAM_001,17.0,sunny,0.0,0,0,0,3,42,0
2024-10-18,MUC_001,19.7,sunny,0.0,0,0,0,4,42,0
2024-10-18,BER_001,11.9,rainy,3.4,0,0,0,4,42,0
2024-10-18,HAM_001,14.0,cloudy,0.0,0,0,0,4,42,0
2024-10-19,MUC_001,20.0,rainy,7.0,0,0,1,5,42,1
2024-10-19,BER_001,19.3,sunny,0.0,0,0,0,5,42,1
2024-10-19,HAM_001,13.3,rainy,1.9,0,0,1,5,42,1
2024-10-20,MUC_001,14.2,sunny,0.0,0,0,0,6,42,1
2024-10-20,BER_001,15.1,rainy,5.2,0,0,0,6,42,1
2024-10-20,HAM_001,17.8,sunny,7.0,0,0,0,6,42,1
2024-10-21,MUC_001,17.4,sunny,0.0,0,0,0,0,43,0
2024-10-21,BER_001,14.0,cloudy,0.0,0,0,0,0,43,0
2024-10-21,HAM_001,14.7,rainy,0.0,0,0,0,0,43,0
2024-10-22,MUC_001,19.1,rainy,0.0,0,0,0,1,43,0
2024-10-22,BER_001,19.6,cloudy,8.3,0,0,0,1,43,0
2024-10-22,HAM_001,18.0,sunny,0.0,0,0,0,1,43,0
2024-10-23,MUC_001,10.2,sunny,0.0,0,0,0,2,43,0
2024-10-23,BER_001,18.3,sunny,0.0,0,0,0,2,43,0
2024-10-23,HAM_001,10.2,sunny,0.0,0,0,0,2,43,0
2024-10-24,MUC_001,11.2,sunny,0.0,0,0,0,3,43,0
2024-10-24,BER_001,19.4,rainy,0.0,0,0,0,3,43,0
2024-10-24,HAM_001,19.3,rainy,8.7,0,0,0,3,43,0
2024-10-25,MUC_001,11.8,sunny,0.0,0,0,0,4,43,0
2024-10-25,BER_001,13.3,cloudy,0.0,0,0,0,4,43,0
2024-10-25,HAM_001,15.0,rainy,0.0,0,0,0,4,43,0
2024-10-26,MUC_001,12.7,cloudy,0.0,0,0,0,5,43,1
2024-10-26,BER_001,10.4,cloudy,7.2,0,0,0,5,43,1
2024-10-26,HAM_001,15.4,sunny,1.9,0,0,0,5,43,1
2024-10-27,MUC_001,13.1,sunny,0.0,0,0,1,6,43,1
2024-10-27,BER_001,15.8,rainy,4.5,0,0,0,6,43,1
2024-10-27,HAM_001,11.3,cloudy,0.0,0,0,0,6,43,1
2024-10-28,MUC_001,18.8,rainy,0.0,0,0,0,0,44,0
2024-10-28,BER_001,14.6,rainy,0.0,0,0,0,0,44,0
2024-10-28,HAM_001,19.2,sunny,0.0,0,0,0,0,44,0
2024-10-29,MUC_001,19.3,cloudy,0.0,0,0,0,1,44,0
2024-10-29,BER_001,18.5,sunny,0.0,0,0,0,1,44,0
2024-10-29,HAM_001,16.9,sunny,7.7,0,0,0,1,44,0
2024-10-30,MUC_001,15.8,cloudy,5.9,0,0,0,2,44,0
2024-10-30,BER_001,15.4,cloudy,0.0,0,0,0,2,44,0
2024-10-30,HAM_001,19.1,sunny,0.0,0,0,0,2,44,0
2024-10-31,MUC_001,15.7,rainy,0.0,0,0,0,3,44,0
2024-10-31,BER_001,12.9,rainy,1.9,0,0,0,3,44,0
2024-10-31,HAM_001,12.8,cloudy,0.0,0,0,0,3,44,0
