order_id,order_timestamp,location_id,item_id,item_name,category,quantity,unit_price,order_total,channel,customer_type,preparation_time_minutes
ORD_202408010130_MUC_001_4075,2024-08-01 01:30:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,kiosk,new,11
ORD_202408010130_MUC_001_8404,2024-08-01 01:30:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,web,returning,13
ORD_202408010130_BER_001_9431,2024-08-01 01:30:00,BER_001,BOWL_001,Veggie Bowl,Bowl,2,10.9,21.8,kiosk,returning,10
ORD_202408010130_BER_001_6712,2024-08-01 01:30:00,BER_001,SALAD_001,Caesar Salad,Salad,2,9.9,19.8,web,returning,7
ORD_202408010130_BER_001_9663,2024-08-01 01:30:00,BER_001,PIZZA_001,Margherita Pizza,Pizza,2,12.9,25.8,app,returning,10
ORD_202408010130_BER_001_3440,2024-08-01 01:30:00,BER_001,PASTA_001,Pasta Carbonara,Pasta,1,11.9,11.9,app,new,8
ORD_202408010130_BER_001_5050,2024-08-01 01:30:00,BER_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,web,returning,10
ORD_202408010130_HAM_001_7757,2024-08-01 01:30:00,HAM_001,PASTA_001,Pasta Carbonara,Pasta,2,11.9,23.8,kiosk,returning,9
ORD_202408010130_HAM_001_9814,2024-08-01 01:30:00,HAM_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,app,returning,10
ORD_202408010130_HAM_001_6887,2024-08-01 01:30:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,app,returning,13
ORD_202408010130_HAM_001_6414,2024-08-01 01:30:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,app,returning,15
ORD_202408010130_HAM_001_3808,2024-08-01 01:30:00,HAM_001,BOWL_001,Veggie Bowl,Bowl,2,10.9,21.8,web,new,8
ORD_202408010130_HAM_001_8341,2024-08-01 01:30:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,kiosk,new,14
ORD_202408010130_HAM_001_1268,2024-08-01 01:30:00,HAM_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,app,new,13
ORD_202408010130_HAM_001_5762,2024-08-01 01:30:00,HAM_001,PIZZA_001,Margherita Pizza,Pizza,2,12.9,25.8,web,returning,14
ORD_202408010130_HAM_001_7215,2024-08-01 01:30:00,HAM_001,BOWL_001,Veggie Bowl,Bowl,1,10.9,10.9,app,returning,8
ORD_202408010130_HAM_001_7825,2024-08-01 01:30:00,HAM_001,BOWL_001,Veggie Bowl,Bowl,2,10.9,21.8,app,returning,11
ORD_202408010130_HAM_001_7437,2024-08-01 01:30:00,HAM_001,PIZZA_001,Margherita Pizza,Pizza,2,12.9,25.8,kiosk,new,15
ORD_202408010200_MUC_001_7553,2024-08-01 02:00:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,app,returning,11
ORD_202408010200_MUC_001_8258,2024-08-01 02:00:00,MUC_001,BOWL_001,Veggie Bowl,Bowl,1,10.9,10.9,app,returning,8
ORD_202408010200_MUC_001_5061,2024-08-01 02:00:00,MUC_001,BOWL_001,Veggie Bowl,Bowl,2,10.9,21.8,app,returning,11
ORD_202408010200_BER_001_2205,2024-08-01 02:00:00,BER_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,web,returning,9
ORD_202408010200_BER_001_2526,2024-08-01 02:00:00,BER_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,app,new,10
ORD_202408010200_BER_001_7431,2024-08-01 02:00:00,BER_001,PIZZA_001,Margherita Pizza,Pizza,2,12.9,25.8,web,new,14
ORD_202408010200_BER_001_1636,2024-08-01 02:00:00,BER_001,SALAD_001,Caesar Salad,Salad,2,9.9,19.8,kiosk,new,7
ORD_202408010200_BER_001_9065,2024-08-01 02:00:00,BER_001,BURGER_001,Classic Burger,Burger,1,13.9,13.9,web,new,10
ORD_202408010200_HAM_001_4877,2024-08-01 02:00:00,HAM_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,app,new,7
ORD_202408010200_HAM_001_3224,2024-08-01 02:00:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,app,new,10
ORD_202408010200_HAM_001_1098,2024-08-01 02:00:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,app,returning,14
ORD_202408010200_HAM_001_9064,2024-08-01 02:00:00,HAM_001,PIZZA_001,Margherita Pizza,Pizza,2,12.9,25.8,web,returning,11
ORD_202408010200_HAM_001_3301,2024-08-01 02:00:00,HAM_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,web,new,10
ORD_202408010200_HAM_001_2133,2024-08-01 02:00:00,HAM_001,PASTA_001,Pasta Carbonara,Pasta,2,11.9,23.8,app,new,11
ORD_202408010200_HAM_001_9487,2024-08-01 02:00:00,HAM_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,kiosk,new,14
ORD_202408010200_HAM_001_4499,2024-08-01 02:00:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,kiosk,returning,12
ORD_202408010230_MUC_001_1090,2024-08-01 02:30:00,MUC_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,web,returning,12
ORD_202408010230_MUC_001_2242,2024-08-01 02:30:00,MUC_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,app,returning,14
ORD_202408010230_BER_001_3670,2024-08-01 02:30:00,BER_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,kiosk,new,11
ORD_202408010230_BER_001_1093,2024-08-01 02:30:00,BER_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,web,returning,15
ORD_202408010230_HAM_001_4523,2024-08-01 02:30:00,HAM_001,BOWL_001,Veggie Bowl,Bowl,1,10.9,10.9,web,returning,11
ORD_202408010230_HAM_001_1607,2024-08-01 02:30:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,kiosk,new,12
ORD_202408010230_HAM_001_5664,2024-08-01 02:30:00,HAM_001,PASTA_001,Pasta Carbonara,Pasta,2,11.9,23.8,web,returning,8
ORD_202408010300_MUC_001_3492,2024-08-01 03:00:00,MUC_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,web,returning,14
ORD_202408010300_MUC_001_6766,2024-08-01 03:00:00,MUC_001,BOWL_001,Veggie Bowl,Bowl,2,10.9,21.8,app,returning,10
ORD_202408010300_MUC_001_1538,2024-08-01 03:00:00,MUC_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,app,new,7
ORD_202408010300_MUC_001_5839,2024-08-01 03:00:00,MUC_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,app,new,9
ORD_202408010300_MUC_001_2170,2024-08-01 03:00:00,MUC_001,PASTA_001,Pasta Carbonara,Pasta,1,11.9,11.9,web,returning,9
ORD_202408010300_MUC_001_7300,2024-08-01 03:00:00,MUC_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,web,returning,11
ORD_202408010300_MUC_001_9119,2024-08-01 03:00:00,MUC_001,PASTA_001,Pasta Carbonara,Pasta,2,11.9,23.8,kiosk,new,13
ORD_202408010300_MUC_001_8234,2024-08-01 03:00:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,app,returning,14
ORD_202408010300_BER_001_9177,2024-08-01 03:00:00,BER_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,kiosk,new,8
ORD_202408010300_BER_001_1209,2024-08-01 03:00:00,BER_001,SALAD_001,Caesar Salad,Salad,2,9.9,19.8,app,new,9
ORD_202408010300_BER_001_1540,2024-08-01 03:00:00,BER_001,BURGER_001,Classic Burger,Burger,1,13.9,13.9,kiosk,returning,14
ORD_202408010300_BER_001_3244,2024-08-01 03:00:00,BER_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,web,new,13
ORD_202408010300_BER_001_3839,2024-08-01 03:00:00,BER_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,web,new,13
ORD_202408010300_BER_001_3356,2024-08-01 03:00:00,BER_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,kiosk,returning,15
ORD_202408010300_BER_001_4341,2024-08-01 03:00:00,BER_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,kiosk,new,10
ORD_202408010300_BER_001_1163,2024-08-01 03:00:00,BER_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,web,new,12
ORD_202408010300_HAM_001_2845,2024-08-01 03:00:00,HAM_001,PASTA_001,Pasta Carbonara,Pasta,2,11.9,23.8,kiosk,new,11
ORD_202408010300_HAM_001_8058,2024-08-01 03:00:00,HAM_001,PASTA_001,Pasta Carbonara,Pasta,2,11.9,23.8,kiosk,returning,12
ORD_202408010300_HAM_001_8805,2024-08-01 03:00:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,app,returning,11
ORD_202408010300_HAM_001_9121,2024-08-01 03:00:00,HAM_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,kiosk,returning,10
ORD_202408010300_HAM_001_5400,2024-08-01 03:00:00,HAM_001,BURGER_001,Classic Burger,Burger,1,13.9,13.9,kiosk,new,12
ORD_202408010300_HAM_001_3468,2024-08-01 03:00:00,HAM_001,SALAD_001,Caesar Salad,Salad,2,9.9,19.8,app,new,10
ORD_202408010330_MUC_001_6799,2024-08-01 03:30:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,app,returning,12
ORD_202408010330_MUC_001_3806,2024-08-01 03:30:00,MUC_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,web,returning,14
ORD_202408010330_BER_001_3946,2024-08-01 03:30:00,BER_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,kiosk,returning,10
ORD_202408010330_BER_001_4680,2024-08-01 03:30:00,BER_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,kiosk,returning,10
ORD_202408010330_BER_001_2662,2024-08-01 03:30:00,BER_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,app,new,10
ORD_202408010330_BER_001_7035,2024-08-01 03:30:00,BER_001,SALAD_001,Caesar Salad,Salad,2,9.9,19.8,web,returning,11
ORD_202408010330_BER_001_3249,2024-08-01 03:30:00,BER_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,kiosk,new,10
ORD_202408010330_BER_001_7405,2024-08-01 03:30:00,BER_001,BOWL_001,Veggie Bowl,Bowl,1,10.9,10.9,web,new,8
ORD_202408010330_HAM_001_5692,2024-08-01 03:30:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,app,new,13
ORD_202408010330_HAM_001_1751,2024-08-01 03:30:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,kiosk,returning,12
ORD_202408010330_HAM_001_4325,2024-08-01 03:30:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,web,returning,15
ORD_202408010400_MUC_001_4454,2024-08-01 04:00:00,MUC_001,BURGER_001,Classic Burger,Burger,1,13.9,13.9,kiosk,returning,14
ORD_202408010400_MUC_001_5625,2024-08-01 04:00:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,kiosk,returning,14
ORD_202408010400_MUC_001_3559,2024-08-01 04:00:00,MUC_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,kiosk,new,14
ORD_202408010400_MUC_001_8654,2024-08-01 04:00:00,MUC_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,app,returning,11
ORD_202408010400_MUC_001_5986,2024-08-01 04:00:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,web,returning,13
ORD_202408010400_MUC_001_8379,2024-08-01 04:00:00,MUC_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,app,returning,14
ORD_202408010400_BER_001_9500,2024-08-01 04:00:00,BER_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,kiosk,returning,9
ORD_202408010400_BER_001_1541,2024-08-01 04:00:00,BER_001,BOWL_001,Veggie Bowl,Bowl,2,10.9,21.8,web,returning,11
ORD_202408010400_BER_001_3204,2024-08-01 04:00:00,BER_001,PASTA_001,Pasta Carbonara,Pasta,1,11.9,11.9,app,returning,10
ORD_202408010400_BER_001_5679,2024-08-01 04:00:00,BER_001,BOWL_001,Veggie Bowl,Bowl,2,10.9,21.8,app,new,9
ORD_202408010400_BER_001_2687,2024-08-01 04:00:00,BER_001,BURGER_001,Classic Burger,Burger,1,13.9,13.9,kiosk,new,11
ORD_202408010400_BER_001_2074,2024-08-01 04:00:00,BER_001,BOWL_001,Veggie Bowl,Bowl,1,10.9,10.9,web,returning,10
ORD_202408010400_BER_001_2176,2024-08-01 04:00:00,BER_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,web,new,10
ORD_202408010400_HAM_001_1056,2024-08-01 04:00:00,HAM_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,app,new,13
ORD_202408010400_HAM_001_8573,2024-08-01 04:00:00,HAM_001,BOWL_001,Veggie Bowl,Bowl,2,10.9,21.8,kiosk,new,7
ORD_202408010400_HAM_001_9290,2024-08-01 04:00:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,kiosk,returning,15
ORD_202408010400_HAM_001_9033,2024-08-01 04:00:00,HAM_001,PIZZA_001,Margherita Pizza,Pizza,2,12.9,25.8,kiosk,new,12
ORD_202408010430_MUC_001_4584,2024-08-01 04:30:00,MUC_001,BOWL_001,Veggie Bowl,Bowl,2,10.9,21.8,kiosk,new,12
ORD_202408010430_MUC_001_3810,2024-08-01 04:30:00,MUC_001,PASTA_001,Pasta Carbonara,Pasta,2,11.9,23.8,app,new,12
ORD_202408010430_MUC_001_7218,2024-08-01 04:30:00,MUC_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,app,returning,9
ORD_202408010430_MUC_001_6856,2024-08-01 04:30:00,MUC_001,BOWL_001,Veggie Bowl,Bowl,1,10.9,10.9,web,new,12
ORD_202408010430_MUC_001_1717,2024-08-01 04:30:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,web,returning,11
ORD_202408010430_MUC_001_8507,2024-08-01 04:30:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,kiosk,returning,10
ORD_202408010430_MUC_001_1770,2024-08-01 04:30:00,MUC_001,BURGER_001,Classic Burger,Burger,1,13.9,13.9,app,new,9
ORD_202408010430_MUC_001_3303,2024-08-01 04:30:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,web,new,10
ORD_202408010430_BER_001_1310,2024-08-01 04:30:00,BER_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,kiosk,returning,13
ORD_202408010430_BER_001_9924,2024-08-01 04:30:00,BER_001,SALAD_001,Caesar Salad,Salad,2,9.9,19.8,app,new,6
ORD_202408010430_BER_001_3309,2024-08-01 04:30:00,BER_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,app,returning,8
ORD_202408010430_BER_001_2723,2024-08-01 04:30:00,BER_001,BURGER_001,Classic Burger,Burger,1,13.9,13.9,web,new,13
ORD_202408010430_BER_001_5234,2024-08-01 04:30:00,BER_001,SALAD_001,Caesar Salad,Salad,2,9.9,19.8,app,returning,11
ORD_202408010430_BER_001_8032,2024-08-01 04:30:00,BER_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,app,new,13
ORD_202408010430_BER_001_1235,2024-08-01 04:30:00,BER_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,kiosk,returning,9
ORD_202408010430_HAM_001_1290,2024-08-01 04:30:00,HAM_001,PIZZA_001,Margherita Pizza,Pizza,2,12.9,25.8,app,new,13
ORD_202408010430_HAM_001_9527,2024-08-01 04:30:00,HAM_001,PIZZA_001,Margherita Pizza,Pizza,2,12.9,25.8,web,new,13
ORD_202408010430_HAM_001_7213,2024-08-01 04:30:00,HAM_001,SALAD_001,Caesar Salad,Salad,2,9.9,19.8,kiosk,returning,10
ORD_202408010430_HAM_001_1285,2024-08-01 04:30:00,HAM_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,app,new,14
ORD_202408010430_HAM_001_5509,2024-08-01 04:30:00,HAM_001,BURGER_001,Classic Burger,Burger,1,13.9,13.9,web,new,11
ORD_202408010430_HAM_001_3307,2024-08-01 04:30:00,HAM_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,app,new,12
ORD_202408010430_HAM_001_1794,2024-08-01 04:30:00,HAM_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,app,returning,12
ORD_202408010430_HAM_001_9784,2024-08-01 04:30:00,HAM_001,PASTA_001,Pasta Carbonara,Pasta,1,11.9,11.9,app,new,12
ORD_202408010500_MUC_001_3515,2024-08-01 05:00:00,MUC_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,app,returning,11
ORD_202408010500_MUC_001_7401,2024-08-01 05:00:00,MUC_001,PASTA_001,Pasta Carbonara,Pasta,1,11.9,11.9,app,returning,10
ORD_202408010500_MUC_001_2702,2024-08-01 05:00:00,MUC_001,BOWL_001,Veggie Bowl,Bowl,1,10.9,10.9,app,new,10
ORD_202408010500_MUC_001_9778,2024-08-01 05:00:00,MUC_001,BOWL_001,Veggie Bowl,Bowl,1,10.9,10.9,app,new,11
ORD_202408010500_BER_001_8057,2024-08-01 05:00:00,BER_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,kiosk,new,6
ORD_202408010500_BER_001_4801,2024-08-01 05:00:00,BER_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,web,new,12
ORD_202408010500_BER_001_7928,2024-08-01 05:00:00,BER_001,PIZZA_001,Margherita Pizza,Pizza,2,12.9,25.8,app,new,12
ORD_202408010500_BER_001_7204,2024-08-01 05:00:00,BER_001,BURGER_001,Classic Burger,Burger,1,13.9,13.9,kiosk,returning,9
ORD_202408010500_BER_001_3967,2024-08-01 05:00:00,BER_001,PASTA_001,Pasta Carbonara,Pasta,2,11.9,23.8,kiosk,returning,8
ORD_202408010500_BER_001_9622,2024-08-01 05:00:00,BER_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,web,new,14
ORD_202408010500_HAM_001_7937,2024-08-01 05:00:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,app,returning,10
ORD_202408010500_HAM_001_8567,2024-08-01 05:00:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,kiosk,new,12
ORD_202408010500_HAM_001_1363,2024-08-01 05:00:00,HAM_001,PIZZA_001,Margherita Pizza,Pizza,2,12.9,25.8,web,returning,10
ORD_202408010500_HAM_001_7362,2024-08-01 05:00:00,HAM_001,PASTA_001,Pasta Carbonara,Pasta,1,11.9,11.9,kiosk,returning,10
ORD_202408010500_HAM_001_2024,2024-08-01 05:00:00,HAM_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,app,returning,13
ORD_202408010500_HAM_001_3415,2024-08-01 05:00:00,HAM_001,PASTA_001,Pasta Carbonara,Pasta,1,11.9,11.9,kiosk,returning,9
ORD_202408010530_MUC_001_6096,2024-08-01 05:30:00,MUC_001,PASTA_001,Pasta Carbonara,Pasta,2,11.9,23.8,kiosk,new,9
ORD_202408010530_MUC_001_3064,2024-08-01 05:30:00,MUC_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,kiosk,new,7
ORD_202408010530_BER_001_6588,2024-08-01 05:30:00,BER_001,PASTA_001,Pasta Carbonara,Pasta,1,11.9,11.9,kiosk,returning,9
ORD_202408010530_HAM_001_2446,2024-08-01 05:30:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,kiosk,returning,13
ORD_202408010600_MUC_001_6587,2024-08-01 06:00:00,MUC_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,web,new,10
ORD_202408010600_MUC_001_8412,2024-08-01 06:00:00,MUC_001,SALAD_001,Caesar Salad,Salad,2,9.9,19.8,web,new,8
ORD_202408010600_MUC_001_3038,2024-08-01 06:00:00,MUC_001,SALAD_001,Caesar Salad,Salad,2,9.9,19.8,kiosk,new,7
ORD_202408010600_MUC_001_8365,2024-08-01 06:00:00,MUC_001,BURGER_001,Classic Burger,Burger,1,13.9,13.9,kiosk,returning,11
ORD_202408010600_MUC_001_6037,2024-08-01 06:00:00,MUC_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,kiosk,returning,7
ORD_202408010600_MUC_001_9960,2024-08-01 06:00:00,MUC_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,web,new,7
ORD_202408010600_MUC_001_4710,2024-08-01 06:00:00,MUC_001,SALAD_001,Caesar Salad,Salad,1,9.9,9.9,web,returning,10
